Pays,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Espagne,,13665,12874,12363,10658,10882,12730,10466,8243,11406,10200
Italie,,12171,12689,13247,13883,13578,14381,14631,11526,9674,11157
Algérie,23689,23631,21995,22427,21824,21827,22608,21759,17896,18369,20151
Maroc,19790,20049,18064,18423,18811,19144,20788,22546,17538,22197,26976
Tunisie,11276,11572,10800,10508,11283,11857,14198,14995,11467,13168,16880
Monde,151599,249176,236915,240497,243597,246227,259934,268462,208493,250383,284910
